RoleKey,RoleID,RoleName,RoleType,SAPModule,RiskIndicator
31,ROLE_0031,MM_VENDOR_MANAGEMENT_0031,Business,MM,Green
32,ROLE_0032,Basis_SYSTEM_ADMINISTRATION_0032,Business,Basis,Red
33,ROLE_0033,HCM_PERSONNEL_ADMINISTRATION_0033,Business,HCM,Green
34,ROLE_0034,CRM_SALES_OPERATIONS_0034,Business,CRM,Green
35,ROLE_0035,CRM_SALES_OPERATIONS_0035,Composite,CRM,Green
36,ROLE_0036,Security_USER_ADMINISTRATION_0036,Business,Security,Green
37,ROLE_0037,HCM_HR_OPERATIONS_0037,Technical,HCM,Green
38,ROLE_0038,MM_PURCHASING_0038,Business,MM,Red
39,ROLE_0039,HCM_PERSONNEL_ADMINISTRATION_0039,Business,HCM,Red
40,ROLE_0040,SD_CUSTOMER_MANAGEMENT_0040,Business,SD,Green
41,ROLE_0041,FI_AP_0041,Technical,FI,Green
42,ROLE_0042,Security_ACCESS_GOVERNANCE_0042,Business,Security,Green
43,ROLE_0043,FI_GL_0043,Business,FI,Green
44,ROLE_0044,FI_AR_0044,Composite,FI,Red
45,ROLE_0045,HCM_PERSONNEL_ADMINISTRATION_0045,Composite,HCM,Green
46,ROLE_0046,BW_REPORTING_0046,Business,BW,Green
47,ROLE_0047,FI_TREASURY_0047,Technical,FI,Green
48,ROLE_0048,Basis_TECHNICAL_OPERATIONS_0048,Technical,Basis,Green
49,ROLE_0049,BW_DATA_ADMINISTRATION_0049,Business,BW,Green
50,ROLE_0050,Basis_SYSTEM_ADMINISTRATION_0050,Composite,Basis,Green
51,ROLE_0051,MM_VENDOR_MANAGEMENT_0051,Composite,MM,Red
52,ROLE_0052,MM_INVENTORY_0052,Business,MM,Green
53,ROLE_0053,MM_PURCHASING_0053,Business,MM,Green
54,ROLE_0054,SD_BILLING_0054,Composite,SD,Green
55,ROLE_0055,MM_VENDOR_MANAGEMENT_0055,Technical,MM,Green
56,ROLE_0056,FI_TREASURY_0056,Composite,FI,Green
57,ROLE_0057,HCM_HR_OPERATIONS_0057,Business,HCM,Green
58,ROLE_0058,BW_REPORTING_0058,Business,BW,Green
59,ROLE_0059,SD_CUSTOMER_MANAGEMENT_0059,Business,SD,Green
60,ROLE_0060,HCM_PERSONNEL_ADMINISTRATION_0060,Business,HCM,Red
61,ROLE_0061,Security_USER_ADMINISTRATION_0061,Business,Security,Green
62,ROLE_0062,FI_AR_0062,Business,FI,Red
63,ROLE_0063,Security_ACCESS_GOVERNANCE_0063,Business,Security,Green
64,ROLE_0064,SD_SALES_0064,Business,SD,Red
65,ROLE_0065,Security_ACCESS_GOVERNANCE_0065,Composite,Security,Green
66,ROLE_0066,CRM_CUSTOMER_SERVICE_0066,Business,CRM,Green
67,ROLE_0067,HCM_PERSONNEL_ADMINISTRATION_0067,Business,HCM,Green
68,ROLE_0068,HCM_HR_OPERATIONS_0068,Composite,HCM,Green
69,ROLE_0069,SD_BILLING_0069,Business,SD,Green
70,ROLE_0070,HCM_PERSONNEL_ADMINISTRATION_0070,Business,HCM,Red
71,ROLE_0071,SD_SALES_0071,Business,SD,Green
72,ROLE_0072,FI_TREASURY_0072,Composite,FI,Red
73,ROLE_0073,CRM_SALES_OPERATIONS_0073,Business,CRM,Red
74,ROLE_0074,HCM_HR_OPERATIONS_0074,Business,HCM,Red
75,ROLE_0075,FI_ASSET_ACCOUNTING_0075,Composite,FI,Green
76,ROLE_0076,MM_PURCHASING_0076,Business,MM,Red
77,ROLE_0077,FI_AR_0077,Business,FI,Green
78,ROLE_0078,SD_CUSTOMER_MANAGEMENT_0078,Business,SD,Green
79,ROLE_0079,SD_SALES_0079,Business,SD,Red
80,ROLE_0080,CRM_SALES_OPERATIONS_0080,Business,CRM,Green
81,ROLE_0081,SD_SALES_0081,Business,SD,Green
82,ROLE_0082,FI_GL_0082,Business,FI,Red
83,ROLE_0083,HCM_PAYROLL_0083,Business,HCM,Green
84,ROLE_0084,SD_BILLING_0084,Business,SD,Green
85,ROLE_0085,FI_AP_0085,Business,FI,Red
86,ROLE_0086,Basis_TECHNICAL_OPERATIONS_0086,Composite,Basis,Green
87,ROLE_0087,FI_TREASURY_0087,Composite,FI,Red
88,ROLE_0088,CRM_SALES_OPERATIONS_0088,Business,CRM,Green
89,ROLE_0089,Security_ACCESS_GOVERNANCE_0089,Composite,Security,Green
90,ROLE_0090,HCM_PERSONNEL_ADMINISTRATION_0090,Business,HCM,Green
91,ROLE_0091,CRM_SALES_OPERATIONS_0091,Composite,CRM,Green
92,ROLE_0092,FI_ASSET_ACCOUNTING_0092,Business,FI,Red
93,ROLE_0093,HCM_PAYROLL_0093,Business,HCM,Green
94,ROLE_0094,CRM_SALES_OPERATIONS_0094,Business,CRM,Red
95,ROLE_0095,HCM_HR_OPERATIONS_0095,Business,HCM,Red
96,ROLE_0096,HCM_HR_OPERATIONS_0096,Composite,HCM,Red
97,ROLE_0097,SD_BILLING_0097,Technical,SD,Green
98,ROLE_0098,BW_DATA_ADMINISTRATION_0098,Business,BW,Green
99,ROLE_0099,SD_CUSTOMER_MANAGEMENT_0099,Business,SD,Green
100,ROLE_0100,HCM_PERSONNEL_ADMINISTRATION_0100,Business,HCM,Red
101,ROLE_0101,Security_ROLE_ADMINISTRATION_0101,Business,Security,Red
102,ROLE_0102,FI_AP_0102,Business,FI,Red
103,ROLE_0103,Security_ROLE_ADMINISTRATION_0103,Business,Security,Red
104,ROLE_0104,HCM_PAYROLL_0104,Business,HCM,Red
105,ROLE_0105,HCM_PAYROLL_0105,Business,HCM,Green
106,ROLE_0106,SD_BILLING_0106,Business,SD,Green
107,ROLE_0107,CRM_SALES_OPERATIONS_0107,Business,CRM,Green
108,ROLE_0108,MM_INVENTORY_0108,Composite,MM,Green
109,ROLE_0109,MM_VENDOR_MANAGEMENT_0109,Business,MM,Green
110,ROLE_0110,CRM_SALES_OPERATIONS_0110,Business,CRM,Red
111,ROLE_0111,CRM_SALES_OPERATIONS_0111,Business,CRM,Red
112,ROLE_0112,BW_DATA_ADMINISTRATION_0112,Business,BW,Red
113,ROLE_0113,SD_SALES_0113,Business,SD,Green
114,ROLE_0114,FI_ASSET_ACCOUNTING_0114,Composite,FI,Green
115,ROLE_0115,FI_ASSET_ACCOUNTING_0115,Composite,FI,Green
116,ROLE_0116,HCM_HR_OPERATIONS_0116,Composite,HCM,Green
117,ROLE_0117,SD_BILLING_0117,Technical,SD,Red
118,ROLE_0118,MM_PURCHASING_0118,Business,MM,Green
119,ROLE_0119,Basis_TECHNICAL_OPERATIONS_0119,Business,Basis,Red
120,ROLE_0120,FI_AR_0120,Business,FI,Green
121,ROLE_0121,HCM_HR_OPERATIONS_0121,Technical,HCM,Green
122,ROLE_0122,FI_AR_0122,Composite,FI,Red
123,ROLE_0123,HCM_PERSONNEL_ADMINISTRATION_0123,Business,HCM,Green
124,ROLE_0124,FI_TREASURY_0124,Business,FI,Red
125,ROLE_0125,BW_DATA_ADMINISTRATION_0125,Business,BW,Red
126,ROLE_0126,FI_AR_0126,Business,FI,Green
127,ROLE_0127,FI_AR_0127,Technical,FI,Green
128,ROLE_0128,SD_SALES_0128,Composite,SD,Green
129,ROLE_0129,BW_DATA_ADMINISTRATION_0129,Business,BW,Green
130,ROLE_0130,CRM_SALES_OPERATIONS_0130,Composite,CRM,Red
131,ROLE_0131,FI_AR_0131,Composite,FI,Green
132,ROLE_0132,Security_ACCESS_GOVERNANCE_0132,Business,Security,Green
133,ROLE_0133,Security_USER_ADMINISTRATION_0133,Business,Security,Green
134,ROLE_0134,Security_USER_ADMINISTRATION_0134,Business,Security,Green
135,ROLE_0135,CRM_CUSTOMER_SERVICE_0135,Technical,CRM,Red
136,ROLE_0136,SD_BILLING_0136,Technical,SD,Green
137,ROLE_0137,FI_TREASURY_0137,Business,FI,Green
138,ROLE_0138,HCM_HR_OPERATIONS_0138,Business,HCM,Green
139,ROLE_0139,FI_GL_0139,Business,FI,Green
140,ROLE_0140,SD_CUSTOMER_MANAGEMENT_0140,Business,SD,Green
141,ROLE_0141,SD_BILLING_0141,Composite,SD,Green
142,ROLE_0142,FI_AP_0142,Composite,FI,Green
143,ROLE_0143,HCM_PAYROLL_0143,Business,HCM,Green
144,ROLE_0144,FI_GL_0144,Business,FI,Red
145,ROLE_0145,HCM_PAYROLL_0145,Business,HCM,Red
146,ROLE_0146,MM_INVENTORY_0146,Business,MM,Green
147,ROLE_0147,BW_DATA_ADMINISTRATION_0147,Business,BW,Green
148,ROLE_0148,HCM_PAYROLL_0148,Business,HCM,Green
149,ROLE_0149,FI_ASSET_ACCOUNTING_0149,Technical,FI,Green
150,ROLE_0150,FI_TREASURY_0150,Business,FI,Green
151,ROLE_0151,FI_ASSET_ACCOUNTING_0151,Composite,FI,Green
152,ROLE_0152,Security_USER_ADMINISTRATION_0152,Business,Security,Green
153,ROLE_0153,FI_ASSET_ACCOUNTING_0153,Business,FI,Green
154,ROLE_0154,MM_INVENTORY_0154,Business,MM,Green
155,ROLE_0155,FI_AP_0155,Technical,FI,Green
156,ROLE_0156,MM_PURCHASING_0156,Business,MM,Green
157,ROLE_0157,HCM_HR_OPERATIONS_0157,Business,HCM,Green
158,ROLE_0158,MM_PURCHASING_0158,Technical,MM,Red
159,ROLE_0159,FI_AR_0159,Business,FI,Green
160,ROLE_0160,SD_BILLING_0160,Business,SD,Green
161,ROLE_0161,MM_INVENTORY_0161,Technical,MM,Red
162,ROLE_0162,FI_AR_0162,Business,FI,Green
163,ROLE_0163,HCM_HR_OPERATIONS_0163,Composite,HCM,Green
164,ROLE_0164,MM_INVENTORY_0164,Technical,MM,Green
165,ROLE_0165,FI_GL_0165,Composite,FI,Green
166,ROLE_0166,BW_DATA_ADMINISTRATION_0166,Composite,BW,Green
167,ROLE_0167,HCM_PAYROLL_0167,Composite,HCM,Green
168,ROLE_0168,FI_TREASURY_0168,Composite,FI,Green
169,ROLE_0169,FI_AP_0169,Business,FI,Green
170,ROLE_0170,FI_ASSET_ACCOUNTING_0170,Business,FI,Red
171,ROLE_0171,SD_SALES_0171,Business,SD,Green
172,ROLE_0172,FI_AP_0172,Business,FI,Green
173,ROLE_0173,FI_TREASURY_0173,Business,FI,Green
174,ROLE_0174,FI_AR_0174,Business,FI,Green
175,ROLE_0175,MM_INVENTORY_0175,Business,MM,Red
176,ROLE_0176,BW_DATA_ADMINISTRATION_0176,Business,BW,Green
177,ROLE_0177,FI_GL_0177,Business,FI,Green
178,ROLE_0178,CRM_CUSTOMER_SERVICE_0178,Business,CRM,Red
179,ROLE_0179,BW_DATA_ADMINISTRATION_0179,Composite,BW,Red
180,ROLE_0180,MM_INVENTORY_0180,Business,MM,Green
181,ROLE_0181,MM_PURCHASING_0181,Business,MM,Green
182,ROLE_0182,BW_DATA_ADMINISTRATION_0182,Business,BW,Green
183,ROLE_0183,MM_PURCHASING_0183,Business,MM,Green
184,ROLE_0184,HCM_PERSONNEL_ADMINISTRATION_0184,Business,HCM,Red
185,ROLE_0185,SD_CUSTOMER_MANAGEMENT_0185,Composite,SD,Red
186,ROLE_0186,BW_REPORTING_0186,Business,BW,Red
187,ROLE_0187,SD_CUSTOMER_MANAGEMENT_0187,Composite,SD,Green
188,ROLE_0188,MM_VENDOR_MANAGEMENT_0188,Business,MM,Green
189,ROLE_0189,MM_PURCHASING_0189,Business,MM,Green
190,ROLE_0190,MM_PURCHASING_0190,Business,MM,Green
191,ROLE_0191,SD_SALES_0191,Technical,SD,Green
192,ROLE_0192,FI_TREASURY_0192,Business,FI,Red
193,ROLE_0193,HCM_PAYROLL_0193,Business,HCM,Green
194,ROLE_0194,SD_CUSTOMER_MANAGEMENT_0194,Composite,SD,Red
195,ROLE_0195,MM_PURCHASING_0195,Business,MM,Red
196,ROLE_0196,MM_INVENTORY_0196,Composite,MM,Green
197,ROLE_0197,HCM_HR_OPERATIONS_0197,Business,HCM,Red
198,ROLE_0198,Security_ROLE_ADMINISTRATION_0198,Composite,Security,Green
199,ROLE_0199,BW_DATA_ADMINISTRATION_0199,Business,BW,Green
200,ROLE_0200,HCM_PAYROLL_0200,Business,HCM,Green
201,ROLE_0201,FI_ASSET_ACCOUNTING_0201,Business,FI,Green
202,ROLE_0202,CRM_CUSTOMER_SERVICE_0202,Business,CRM,Green
203,ROLE_0203,CRM_CUSTOMER_SERVICE_0203,Composite,CRM,Red
204,ROLE_0204,Basis_TECHNICAL_OPERATIONS_0204,Business,Basis,Red
205,ROLE_0205,Security_ROLE_ADMINISTRATION_0205,Composite,Security,Red
206,ROLE_0206,BW_REPORTING_0206,Composite,BW,Green
207,ROLE_0207,SD_CUSTOMER_MANAGEMENT_0207,Composite,SD,Red
208,ROLE_0208,Security_ROLE_ADMINISTRATION_0208,Composite,Security,Red
209,ROLE_0209,FI_TREASURY_0209,Business,FI,Green
210,ROLE_0210,FI_ASSET_ACCOUNTING_0210,Business,FI,Green
211,ROLE_0211,FI_GL_0211,Composite,FI,Green
212,ROLE_0212,HCM_PAYROLL_0212,Business,HCM,Green
213,ROLE_0213,FI_ASSET_ACCOUNTING_0213,Composite,FI,Green
214,ROLE_0214,CRM_SALES_OPERATIONS_0214,Business,CRM,Red
215,ROLE_0215,Basis_SYSTEM_ADMINISTRATION_0215,Business,Basis,Green
216,ROLE_0216,HCM_PAYROLL_0216,Business,HCM,Green
217,ROLE_0217,Security_USER_ADMINISTRATION_0217,Business,Security,Green
218,ROLE_0218,FI_ASSET_ACCOUNTING_0218,Business,FI,Red
219,ROLE_0219,HCM_HR_OPERATIONS_0219,Business,HCM,Green
220,ROLE_0220,SD_SALES_0220,Business,SD,Green
221,ROLE_0221,SD_SALES_0221,Business,SD,Red
222,ROLE_0222,FI_ASSET_ACCOUNTING_0222,Business,FI,Red
223,ROLE_0223,HCM_PAYROLL_0223,Business,HCM,Red
224,ROLE_0224,Security_USER_ADMINISTRATION_0224,Business,Security,Green
225,ROLE_0225,SD_CUSTOMER_MANAGEMENT_0225,Business,SD,Green
226,ROLE_0226,BW_REPORTING_0226,Business,BW,Red
227,ROLE_0227,BW_DATA_ADMINISTRATION_0227,Business,BW,Green
228,ROLE_0228,FI_TREASURY_0228,Business,FI,Green
229,ROLE_0229,MM_VENDOR_MANAGEMENT_0229,Business,MM,Red
230,ROLE_0230,CRM_CUSTOMER_SERVICE_0230,Business,CRM,Red
231,ROLE_0231,MM_VENDOR_MANAGEMENT_0231,Composite,MM,Green
232,ROLE_0232,MM_INVENTORY_0232,Business,MM,Green
233,ROLE_0233,HCM_PERSONNEL_ADMINISTRATION_0233,Business,HCM,Green
234,ROLE_0234,SD_BILLING_0234,Business,SD,Red
235,ROLE_0235,BW_REPORTING_0235,Composite,BW,Green
236,ROLE_0236,MM_INVENTORY_0236,Business,MM,Green
237,ROLE_0237,BW_DATA_ADMINISTRATION_0237,Business,BW,Green
238,ROLE_0238,HCM_PERSONNEL_ADMINISTRATION_0238,Business,HCM,Green
239,ROLE_0239,Basis_TECHNICAL_OPERATIONS_0239,Technical,Basis,Green
240,ROLE_0240,FI_ASSET_ACCOUNTING_0240,Business,FI,Red
241,ROLE_0241,FI_AP_0241,Business,FI,Red
242,ROLE_0242,CRM_CUSTOMER_SERVICE_0242,Composite,CRM,Green
243,ROLE_0243,BW_REPORTING_0243,Business,BW,Green
244,ROLE_0244,SD_BILLING_0244,Business,SD,Red
245,ROLE_0245,SD_CUSTOMER_MANAGEMENT_0245,Business,SD,Green
246,ROLE_0246,FI_AR_0246,Business,FI,Green
247,ROLE_0247,MM_PURCHASING_0247,Business,MM,Green
248,ROLE_0248,FI_TREASURY_0248,Business,FI,Green
249,ROLE_0249,Security_ACCESS_GOVERNANCE_0249,Composite,Security,Green
250,ROLE_0250,CRM_SALES_OPERATIONS_0250,Business,CRM,Green
251,ROLE_0251,FI_AP_0251,Composite,FI,Green
252,ROLE_0252,HCM_HR_OPERATIONS_0252,Business,HCM,Green
253,ROLE_0253,HCM_PERSONNEL_ADMINISTRATION_0253,Business,HCM,Red
254,ROLE_0254,MM_VENDOR_MANAGEMENT_0254,Technical,MM,Green
255,ROLE_0255,MM_PURCHASING_0255,Business,MM,Green
256,ROLE_0256,MM_VENDOR_MANAGEMENT_0256,Business,MM,Red
257,ROLE_0257,CRM_CUSTOMER_SERVICE_0257,Technical,CRM,Green
258,ROLE_0258,Security_ROLE_ADMINISTRATION_0258,Business,Security,Green
259,ROLE_0259,FI_TREASURY_0259,Composite,FI,Green
260,ROLE_0260,SD_SALES_0260,Composite,SD,Green
261,ROLE_0261,SD_CUSTOMER_MANAGEMENT_0261,Composite,SD,Green
262,ROLE_0262,Basis_TECHNICAL_OPERATIONS_0262,Composite,Basis,Green
263,ROLE_0263,MM_INVENTORY_0263,Composite,MM,Green
264,ROLE_0264,Basis_TECHNICAL_OPERATIONS_0264,Composite,Basis,Green
265,ROLE_0265,BW_REPORTING_0265,Composite,BW,Red
266,ROLE_0266,FI_GL_0266,Business,FI,Green
267,ROLE_0267,Security_ROLE_ADMINISTRATION_0267,Composite,Security,Green
268,ROLE_0268,MM_INVENTORY_0268,Composite,MM,Green
269,ROLE_0269,MM_PURCHASING_0269,Business,MM,Green
270,ROLE_0270,MM_PURCHASING_0270,Business,MM,Green
271,ROLE_0271,FI_GL_0271,Business,FI,Red
272,ROLE_0272,MM_PURCHASING_0272,Business,MM,Green
273,ROLE_0273,Security_ROLE_ADMINISTRATION_0273,Composite,Security,Red
274,ROLE_0274,HCM_PERSONNEL_ADMINISTRATION_0274,Technical,HCM,Green
275,ROLE_0275,CRM_SALES_OPERATIONS_0275,Composite,CRM,Green
276,ROLE_0276,CRM_SALES_OPERATIONS_0276,Business,CRM,Green
277,ROLE_0277,MM_PURCHASING_0277,Business,MM,Green
278,ROLE_0278,FI_GL_0278,Business,FI,Green
279,ROLE_0279,HCM_HR_OPERATIONS_0279,Business,HCM,Red
280,ROLE_0280,HCM_PERSONNEL_ADMINISTRATION_0280,Business,HCM,Green
281,ROLE_0281,SD_BILLING_0281,Business,SD,Green
282,ROLE_0282,FI_AR_0282,Business,FI,Green
283,ROLE_0283,CRM_CUSTOMER_SERVICE_0283,Business,CRM,Green
284,ROLE_0284,SD_BILLING_0284,Business,SD,Green
285,ROLE_0285,MM_VENDOR_MANAGEMENT_0285,Business,MM,Green
286,ROLE_0286,SD_BILLING_0286,Technical,SD,Green
287,ROLE_0287,SD_SALES_0287,Composite,SD,Red
288,ROLE_0288,BW_REPORTING_0288,Business,BW,Green
289,ROLE_0289,CRM_SALES_OPERATIONS_0289,Technical,CRM,Green
290,ROLE_0290,SD_BILLING_0290,Business,SD,Green
291,ROLE_0291,CRM_CUSTOMER_SERVICE_0291,Business,CRM,Green
292,ROLE_0292,CRM_CUSTOMER_SERVICE_0292,Business,CRM,Red
293,ROLE_0293,Security_ACCESS_GOVERNANCE_0293,Composite,Security,Red
294,ROLE_0294,MM_INVENTORY_0294,Business,MM,Green
295,ROLE_0295,HCM_HR_OPERATIONS_0295,Composite,HCM,Green
296,ROLE_0296,HCM_HR_OPERATIONS_0296,Business,HCM,Green
297,ROLE_0297,SD_CUSTOMER_MANAGEMENT_0297,Business,SD,Green
298,ROLE_0298,SD_BILLING_0298,Technical,SD,Green
299,ROLE_0299,HCM_PAYROLL_0299,Composite,HCM,Green
300,ROLE_0300,SD_SALES_0300,Business,SD,Green
301,ROLE_0301,MM_INVENTORY_0301,Business,MM,Red
302,ROLE_0302,SD_BILLING_0302,Composite,SD,Green
303,ROLE_0303,FI_AR_0303,Business,FI,Green
304,ROLE_0304,Security_USER_ADMINISTRATION_0304,Business,Security,Green
305,ROLE_0305,SD_SALES_0305,Business,SD,Green
306,ROLE_0306,FI_AR_0306,Business,FI,Green
307,ROLE_0307,HCM_PAYROLL_0307,Business,HCM,Red
308,ROLE_0308,Basis_SYSTEM_ADMINISTRATION_0308,Business,Basis,Green
309,ROLE_0309,BW_REPORTING_0309,Business,BW,Green
310,ROLE_0310,SD_SALES_0310,Technical,SD,Red
311,ROLE_0311,Basis_SYSTEM_ADMINISTRATION_0311,Business,Basis,Red
312,ROLE_0312,HCM_PERSONNEL_ADMINISTRATION_0312,Business,HCM,Green
313,ROLE_0313,SD_BILLING_0313,Business,SD,Green
314,ROLE_0314,SD_SALES_0314,Business,SD,Green
315,ROLE_0315,SD_BILLING_0315,Technical,SD,Green
316,ROLE_0316,MM_PURCHASING_0316,Business,MM,Red
317,ROLE_0317,HCM_PERSONNEL_ADMINISTRATION_0317,Business,HCM,Red
318,ROLE_0318,Security_ROLE_ADMINISTRATION_0318,Business,Security,Green
319,ROLE_0319,FI_AP_0319,Composite,FI,Red
320,ROLE_0320,Basis_SYSTEM_ADMINISTRATION_0320,Composite,Basis,Green
321,ROLE_0321,Basis_TECHNICAL_OPERATIONS_0321,Business,Basis,Green
322,ROLE_0322,FI_AR_0322,Composite,FI,Red
323,ROLE_0323,BW_DATA_ADMINISTRATION_0323,Business,BW,Green
324,ROLE_0324,CRM_SALES_OPERATIONS_0324,Business,CRM,Red
325,ROLE_0325,FI_AR_0325,Business,FI,Green
326,ROLE_0326,CRM_CUSTOMER_SERVICE_0326,Technical,CRM,Green
327,ROLE_0327,SD_BILLING_0327,Business,SD,Green
328,ROLE_0328,HCM_HR_OPERATIONS_0328,Business,HCM,Green
329,ROLE_0329,HCM_HR_OPERATIONS_0329,Business,HCM,Green
330,ROLE_0330,BW_DATA_ADMINISTRATION_0330,Composite,BW,Red
331,ROLE_0331,FI_AR_0331,Composite,FI,Green
332,ROLE_0332,SD_BILLING_0332,Technical,SD,Green
333,ROLE_0333,BW_REPORTING_0333,Business,BW,Green
334,ROLE_0334,SD_CUSTOMER_MANAGEMENT_0334,Composite,SD,Red
335,ROLE_0335,Security_USER_ADMINISTRATION_0335,Composite,Security,Red
336,ROLE_0336,HCM_HR_OPERATIONS_0336,Business,HCM,Green
337,ROLE_0337,CRM_CUSTOMER_SERVICE_0337,Business,CRM,Red
338,ROLE_0338,Security_USER_ADMINISTRATION_0338,Technical,Security,Green
339,ROLE_0339,FI_AP_0339,Business,FI,Red
340,ROLE_0340,SD_BILLING_0340,Business,SD,Green
341,ROLE_0341,SD_SALES_0341,Composite,SD,Green
342,ROLE_0342,FI_ASSET_ACCOUNTING_0342,Business,FI,Green
343,ROLE_0343,Security_USER_ADMINISTRATION_0343,Business,Security,Red
344,ROLE_0344,MM_INVENTORY_0344,Business,MM,Green
345,ROLE_0345,FI_TREASURY_0345,Composite,FI,Red
346,ROLE_0346,MM_INVENTORY_0346,Business,MM,Green
347,ROLE_0347,SD_SALES_0347,Business,SD,Green
348,ROLE_0348,Security_USER_ADMINISTRATION_0348,Composite,Security,Green
349,ROLE_0349,BW_REPORTING_0349,Composite,BW,Green
350,ROLE_0350,FI_AP_0350,Business,FI,Green
351,ROLE_0351,SD_BILLING_0351,Business,SD,Green
352,ROLE_0352,HCM_PAYROLL_0352,Business,HCM,Green
353,ROLE_0353,MM_PURCHASING_0353,Business,MM,Red
354,ROLE_0354,SD_BILLING_0354,Business,SD,Green
355,ROLE_0355,MM_PURCHASING_0355,Business,MM,Red
356,ROLE_0356,FI_AP_0356,Business,FI,Green
357,ROLE_0357,MM_PURCHASING_0357,Composite,MM,Green
358,ROLE_0358,BW_DATA_ADMINISTRATION_0358,Business,BW,Green
359,ROLE_0359,BW_REPORTING_0359,Business,BW,Red
360,ROLE_0360,HCM_PERSONNEL_ADMINISTRATION_0360,Business,HCM,Green
361,ROLE_0361,MM_PURCHASING_0361,Business,MM,Green
362,ROLE_0362,BW_REPORTING_0362,Business,BW,Green
363,ROLE_0363,CRM_SALES_OPERATIONS_0363,Composite,CRM,Red
364,ROLE_0364,FI_TREASURY_0364,Composite,FI,Red
365,ROLE_0365,SD_CUSTOMER_MANAGEMENT_0365,Technical,SD,Green
366,ROLE_0366,MM_PURCHASING_0366,Business,MM,Green
367,ROLE_0367,SD_CUSTOMER_MANAGEMENT_0367,Composite,SD,Green
368,ROLE_0368,SD_BILLING_0368,Composite,SD,Red
369,ROLE_0369,MM_VENDOR_MANAGEMENT_0369,Business,MM,Red
370,ROLE_0370,SD_SALES_0370,Business,SD,Red
371,ROLE_0371,HCM_PAYROLL_0371,Composite,HCM,Red
372,ROLE_0372,HCM_PAYROLL_0372,Business,HCM,Green
373,ROLE_0373,SD_BILLING_0373,Composite,SD,Green
374,ROLE_0374,SD_BILLING_0374,Business,SD,Green
375,ROLE_0375,HCM_PAYROLL_0375,Business,HCM,Green
376,ROLE_0376,Basis_SYSTEM_ADMINISTRATION_0376,Composite,Basis,Green
377,ROLE_0377,SD_BILLING_0377,Business,SD,Red
378,ROLE_0378,FI_TREASURY_0378,Business,FI,Green
379,ROLE_0379,FI_AR_0379,Composite,FI,Green
380,ROLE_0380,SD_BILLING_0380,Composite,SD,Red
381,ROLE_0381,SD_CUSTOMER_MANAGEMENT_0381,Business,SD,Green
382,ROLE_0382,BW_REPORTING_0382,Business,BW,Green
383,ROLE_0383,BW_REPORTING_0383,Business,BW,Green
384,ROLE_0384,Security_ROLE_ADMINISTRATION_0384,Composite,Security,Green
385,ROLE_0385,BW_REPORTING_0385,Business,BW,Green
386,ROLE_0386,MM_PURCHASING_0386,Business,MM,Red
387,ROLE_0387,MM_INVENTORY_0387,Business,MM,Green
388,ROLE_0388,FI_ASSET_ACCOUNTING_0388,Business,FI,Green
389,ROLE_0389,HCM_PAYROLL_0389,Composite,HCM,Green
